,location,count
1012,Ejipura,9
1013,Gollahalli,9
1014,Jakkur Plantation,9
1015,KUDLU MAIN ROAD,9
1016,Kamakshipalya,9
1017,Kaverappa Layout,9
1018,Lingarajapuram,9
1019,Mathikere,9
1020,Medahalli,9
1021,Peenya,9
1022,Richmond Town,9
1023,Vignana Nagar,9
1024,Vishwanatha Nagenahalli,9
1025,Yemlur,9
1026,1st Block Koramangala,10
1027,Basapura,10
1028,Dairy Circle,10
1029,Dodsworth Layout,10
1030,Ganga Nagar,10
1031,Gunjur Palya,10
1032,Kalkere,10
1033,Nagadevanahalli,10
1034,Naganathapura,10
1035,Nagappa Reddy Layout,10
1036,Sadashiva Nagar,10
1037,Sector 1 HSR Layout,10
1038,Thyagaraja Nagar,10
1039,2nd Phase Judicial Layout,11
1040,5th Block Hbr Layout,11
1041,Banjara Layout,11
1042,Bommenahalli,11
1043,Doddaballapur,11
1044,HAL 2nd Stage,11
1045,Kodigehalli,11
1046,LB Shastri Nagar,11
1047,Marsur,11
1048,Narayanapura,11
1049,Nehru Nagar,11
1050,Pattandur Agrahara,11
1051,Tindlu,11
1052,AECS Layout,12
1053,Badavala Nagar,12
1054,Banashankari Stage V,12
1055,Bharathi Nagar,12
1056,Cox Town,12
1057,GM Palaya,12
1058,ITPL,12
1059,Karuna Nagar,12
1060,Laggere,12
1061,Mico Layout,12
1062,Nagasandra,12
1063,Neeladri Nagar,12
1064,Sompura,12
1065,Vasanthapura,12
1066,Vishwapriya Layout,12
1067,BEML Layout,13
1068,Chikkabanavar,13
1069,Cunningham Road,13
1070,Dommasandra,13
1071,Gollarapalya Hosahalli,13
1072,ISRO Layout,13
1073,Kadubeesanahalli,13
1074,Kodigehaali,13
1075,Konanakunte,13
1076,Mahalakshmi Layout,13
1077,Prithvi Layout,13
1078,Rajiv Nagar,13
1079,Sector 7 HSR Layout,13
1080,Shampura,13
1081,Shivaji Nagar,13
1082,Vishveshwarya Layout,13
1083,Yelenahalli,13
1084,1st Block Jayanagar,14
1085,Chamrajpet,14
1086,Doddakallasandra,14
1087,Giri Nagar,14
1088,Jalahalli East,14
1089,Murugeshpalya,14
1090,NGR Layout,14
1091,NRI Layout,14
1092,Sarakki Nagar,14
1093,Sultan Palaya,14
1094,Benson Town,15
1095,Judicial Layout,15
1096,Kodihalli,15
1097,Nagavarapalya,15
1098,Varthur Road,15
1099,Anjanapura,16
1100,Arekere,16
1101,BTM Layout,16
1102,Banashankari Stage II,16
1103,Banashankari Stage VI,16
1104,Begur,16
1105,Cooke Town,16
1106,Dasanapura,16
1107,Kasturi Nagar,16
1108,Kenchenahalli,16
1109,Kereguddadahalli,16
1110,Mallasandra,16
1111,Parappana Agrahara,16
1112,Sector 2 HSR Layout,16
1113,Banaswadi,17
1114,Bannerghatta,17
1115,Chikka Tirupathi,17
1116,Dasarahalli,17
1117,Devarachikkanahalli,17
1118,Kaikondrahalli,17
1119,Kammanahalli,17
1120,Malleshpalya,17
1121,Nagavara,17
1122,Sarjapura - Attibele Road,17
1123,Billekahalli,18
1124,Garudachar Palya,18
1125,Kannamangala,18
1126,HRBR Layout,19
1127,Kaggalipura,19
1128,Kalyan nagar,19
1129,OMBR Layout,19
1130,Pai Layout,19
1131,Binny Pete,20
1132,HBR Layout,20
1133,Poorna Pragna Layout,20
1134,Sanjay nagar,20
1135,Yelachenahalli,20
1136,Basaveshwara Nagar,21
1137,Hoskote,21
1138,Ulsoor,21
1139,Domlur,22
1140,Gunjur,22
1141,Kathriguppe,22
1142,Kaval Byrasandra,22
1143,Rayasandra,22
1144,Sonnenahalli,22
1145,Thubarahalli,22
1146,6th Phase JP Nagar,23
1147,EPIP Zone,23
1148,Lingadheeranahalli,23
1149,Munnekollal,23
1150,1st Phase JP Nagar,24
1151,2nd Stage Nagarbhavi,24
1152,Abbigere,24
1153,Amruthahalli,24
1154,Ardendale,24
1155,Battarahalli,24
1156,Kambipura,24
1157,Babusapalaya,25
1158,Iblur Village,25
1159,Kogilu,25
1160,Magadi Road,25
1161,Seegehalli,25
1162,Bommasandra Industrial Area,26
1163,Choodasandra,26
1164,Gubbalala,26
1165,Kothannur,26
1166,Margondanahalli,26
1167,Ambalipura,27
1168,Anandapura,27
1169,Banashankari Stage III,27
1170,Kodichikkanahalli,27
1171,Singasandra,27
1172,Horamavu Banaswadi,28
1173,Padmanabhanagar,28
1174,Somasundara Palya,28
1175,BTM 2nd Stage,29
1176,Dodda Nekkundi,29
1177,Kammasandra,29
1178,Kudlu,29
1179,Ananth Nagar,30
1180,Chikkalasandra,30
1181,Doddathoguru,30
1182,Kumaraswami Layout,30
1183,Ambedkar Nagar,31
1184,Mahadevpura,31
1185,Basavangudi,32
1186,Kalena Agrahara,33
1187,Old Airport Road,33
1188,Tumkur Road,33
1189,Bommanahalli,34
1190,Hebbal Kempapura,34
1191,Frazer Town,35
1192,Anekal,36
1193,Hosakerehalli,36
1194,Lakshminarayana Pura,36
1195,R.T. Nagar,36
1196,Bommasandra,37
1197,5th Phase JP Nagar,38
1198,Channasandra,38
1199,Kudlu Gate,38
1200,Green Glen Layout,39
1201,Sahakara Nagar,39
1202,Devanahalli,40
1203,Kengeri Satellite Town,40
1204,Talaghattapura,40
1205,Yelahanka New Town,40
1206,Attibele,42
1207,Horamavu Agara,42
1208,Kadugodi,42
1209,Kanakapura,42
1210,Vijayanagar,42
1211,9th Phase JP Nagar,43
1212,CV Raman Nagar,43
1213,Subramanyapura,43
1214,Vidyaranyapura,43
1215,Vittasandra,43
1216,Indira Nagar,44
1217,Balagere,45
1218,Hosur Road,46
1219,Brookefield,47
1220,Kundalahalli,47
1221,Gottigere,48
1222,Mysore Road,48
1223,Bhoganhalli,49
1224,Hegde Nagar,49
1225,Jigani,50
1226,Ramagondanahalli,50
1227,Bisuvanahalli,51
1228,Hulimavu,51
1229,Panathur,51
1230,Hennur,52
1231,Jalahalli,52
1232,HSR Layout,53
1233,Budigere,54
1234,8th Phase JP Nagar,57
1235,Malleshwaram,57
1236,Rachenahalli,58
1237,TC Palaya,60
1238,Akshaya Nagar,62
1239,Thigalarapalya,62
1240,Nagarbhavi,63
1241,Kaggadasapura,64
1242,JP Nagar,66
1243,Kothanur,66
1244,Jakkur,68
1245,Hosa Road,69
1246,Old Madras Road,70
1247,Varthur,70
1248,Kengeri,72
1249,Koramangala,72
1250,Ramamurthy Nagar,72
1251,Banashankari,74
1252,Hormavu,74
1253,Harlur,79
1254,Kasavanhalli,79
1255,Sarjapur,80
1256,Begur Road,84
1257,Yeshwanthpur,85
1258,Electronics City Phase 1,87
1259,KR Puram,87
1260,Hoodi,88
1261,Bellandur,96
1262,Chandapura,98
1263,Rajaji Nagar,106
1264,Electronic City Phase II,131
1265,Haralur Road,141
1266,7th Phase JP Nagar,148
1267,Hennur Road,150
1268,Bannerghatta Road,151
1269,Raja Rajeshwari Nagar,171
1270,Marathahalli,175
1271,Hebbal,176
1272,Uttarahalli,186
1273,Yelahanka,210
1274,Thanisandra,235
1275,Kanakpura Road,264
1276,Electronic City,303
1277,Sarjapur  Road,392
1278,Whitefield,533
